"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"428",3,"Hiline","H",12,"N",3,4,7.6
"429",3,"Hiline","S",12,"N",3,4,4.3
"430",3,"MTH","C",14,"N",3,4,8
"431",3,"Vida","C",14,"N",3,4,7.6
"432",3,"Vida","D",14,"N",3,4,6.8
"433",3,"MTH","H",14,"N",3,4,7.5
"434",3,"Vida","H",14,"N",3,4,7
"435",3,"MTH","S",14,"N",3,4,8.5
"436",3,"Hiline","C",12,"Y",3,4,NA
"437",3,"Hiline","D",12,"Y",3,4,5
"438",3,"Hiline","F",12,"Y",3,4,4
"439",3,"Hiline","H",12,"Y",3,4,4
"440",3,"Hiline","S",12,"Y",3,4,4.2
"441",3,"MTH","C",14,"Y",3,4,7
"442",3,"Vida","C",14,"Y",3,4,4.2
"443",3,"Vida","D",14,"Y",3,4,5.4
"444",3,"MTH","H",14,"Y",3,4,5.5
"445",3,"Vida","H",14,"Y",3,4,6.3
"446",3,"MTH","S",14,"Y",3,4,9.5
"447",3,"Vida","S",14,"Y",3,4,5.7
"448",3,"Hiline","C",12,"N",4,4,6
"449",3,"Hiline","D",12,"N",4,4,5.3
"450",3,"Hiline","F",12,"N",4,4,7
"451",3,"Hiline","S",12,"N",4,4,5.5
"452",3,"MTH","C",14,"N",4,4,9.5
"453",3,"Vida","C",14,"N",4,4,5.6
"454",3,"MTH","D",14,"N",4,4,7.5
"455",3,"Vida","D",14,"N",4,4,5.5
"456",3,"MTH","F",14,"N",4,4,9.5
"457",3,"Vida","F",14,"N",4,4,8
"458",3,"MTH","H",14,"N",4,4,NA
"459",3,"Vida","H",14,"N",4,4,7.3
"460",3,"MTH","S",14,"N",4,4,8.8
"461",3,"Vida","S",14,"N",4,4,6.2
"462",3,"Hiline","C",12,"Y",4,4,NA
"463",3,"Hiline","D",12,"Y",4,4,4.5
"464",3,"Hiline","F",12,"Y",4,4,7.5
"465",3,"Hiline","H",12,"Y",4,4,6.2
"466",3,"Vida","C",14,"Y",4,4,NA
"467",3,"MTH","D",14,"Y",4,4,7.5
"468",3,"Vida","D",14,"Y",4,4,4.2
"469",3,"MTH","F",14,"Y",4,4,NA
"470",3,"Vida","F",14,"Y",4,4,6
"471",3,"MTH","S",14,"Y",4,4,5.6
"472",3,"Vida","S",14,"Y",4,4,7
"473",3,"Hiline","C",12,"N",5,4,6
"474",3,"Hiline","D",12,"N",5,4,4.6
"475",3,"Hiline","F",12,"N",5,4,NA
"476",3,"Hiline","H",12,"N",5,4,6.5
"477",3,"Hiline","S",12,"N",5,4,5.6
"478",3,"Vida","C",14,"N",5,4,8.5
"479",3,"MTH","D",14,"N",5,4,8.5
"480",3,"MTH","F",14,"N",5,4,10
"481",3,"Vida","F",14,"N",5,4,8
"482",3,"MTH","H",14,"N",5,4,9.3
"483",3,"Vida","H",14,"N",5,4,NA
"484",3,"MTH","S",14,"N",5,4,5.7
"485",3,"Vida","S",14,"N",5,4,7
"486",3,"Hiline","C",12,"Y",5,4,7.3
"487",3,"Hiline","F",12,"Y",5,4,6
"488",3,"Hiline","S",12,"Y",5,4,6.5
"489",3,"MTH","C",14,"Y",5,4,8
"490",3,"Vida","D",14,"Y",5,4,7.6
"491",3,"MTH","F",14,"Y",5,4,5.5
"492",3,"Vida","F",14,"Y",5,4,7
"493",3,"MTH","H",14,"Y",5,4,8
"494",3,"Vida","H",14,"Y",5,4,2
"495",3,"MTH","S",14,"Y",5,4,6.5
"496",3,"Vida","S",14,"Y",5,4,7.6
"497",3,"Hiline","C",12,"N",1,5,5
"498",3,"Hiline","D",12,"N",1,5,5.3
"499",3,"Hiline","F",12,"N",1,5,6.5
"500",3,"Hiline","H",12,"N",1,5,5.5
"501",3,"Vida","C",14,"N",1,5,7
"502",3,"MTH","D",14,"N",1,5,NA
"503",3,"Vida","D",14,"N",1,5,7
"504",3,"MTH","H",14,"N",1,5,8
"505",3,"Vida","H",14,"N",1,5,8.5
"506",3,"MTH","S",14,"N",1,5,9.4
"507",3,"Vida","S",14,"N",1,5,7
"508",3,"Hiline","C",12,"Y",1,5,4.1
"509",3,"Hiline","F",12,"Y",1,5,7.5
"510",3,"Hiline","H",12,"Y",1,5,NA
"511",3,"Hiline","S",12,"Y",1,5,4
"512",3,"MTH","C",14,"Y",1,5,4.4
"513",3,"Vida","C",14,"Y",1,5,7
"514",3,"Vida","F",14,"Y",1,5,6.5
"515",3,"MTH","H",14,"Y",1,5,4.9
"516",3,"MTH","S",14,"Y",1,5,7.5
"517",3,"Vida","S",14,"Y",1,5,7
"518",3,"Hiline","D",12,"N",2,5,6.5
"519",3,"Hiline","F",12,"N",2,5,6
"520",3,"Hiline","H",12,"N",2,5,7.5
"521",3,"Hiline","S",12,"N",2,5,4.6
"522",3,"MTH","D",14,"N",2,5,8.4
"523",3,"Vida","D",14,"N",2,5,6.5
"524",3,"MTH","F",14,"N",2,5,8.3
"525",3,"Vida","F",14,"N",2,5,6.5
"526",3,"Vida","H",14,"N",2,5,6
"527",3,"Hiline","H",12,"Y",2,5,6
"528",3,"MTH","C",14,"Y",2,5,9.4
"529",3,"Vida","D",14,"Y",2,5,9.6
"530",3,"Hiline","C",12,"N",3,5,4.2
"531",3,"Hiline","D",12,"N",3,5,5.8
"532",3,"Hiline","H",12,"N",3,5,6.2
"533",3,"MTH","C",14,"N",3,5,6.3
"534",3,"Vida","C",14,"N",3,5,5.9
"535",3,"Vida","D",14,"N",3,5,6.5
"536",3,"MTH","H",14,"N",3,5,7.8
"537",3,"Vida","H",14,"N",3,5,8.6
"538",3,"MTH","S",14,"N",3,5,7.5
"539",3,"Hiline","C",12,"Y",3,5,6.4
"540",3,"Hiline","D",12,"Y",3,5,5.4
"541",3,"Hiline","F",12,"Y",3,5,2.2
"542",3,"Hiline","H",12,"Y",3,5,5.2
"543",3,"Hiline","S",12,"Y",3,5,NA
"544",3,"MTH","C",14,"Y",3,5,NA
"545",3,"Vida","C",14,"Y",3,5,6.7
